MJD,FLUX
58927.5008007408,1.11068774212727E-07
58932.5008007407,4.102529087437E-08
58937.5008007407,1.44974078389674E-07
58942.5008007407,2.19814101519623E-07
58947.5008007407,1.83043636824014E-07
58952.5008007407,2.97369217538004E-07
58957.5008007407,3.6405348328987E-07
58962.5008007407,1.5910626023333E-07
58967.5008007407,1.3418040281505E-07
58972.5008007407,1.67388159775973E-07
58977.5008007408,1.53286348948039E-07
58982.5008007407,7.10842326150623E-08
58987.5008007407,2.46176961378917E-07
58992.5008007407,1.16332571840474E-07
59002.5008007407,8.27268630610351E-08
59007.5008007407,9.6432974665491E-08
59012.5008007407,9.81696328648538E-08
59017.5008007407,1.23710341732154E-07
59022.5008007407,1.72438687088584E-07
59027.5008007407,1.31883901473548E-07
59032.5008007407,1.45264923383156E-07
59037.5008007407,2.08560332795932E-07
59042.5008007407,1.14298554828662E-07
59047.5008007407,1.39345371918706E-07
59052.5008007407,2.21988759666881E-07
59057.5008007407,5.94489554865904E-08
59062.5008007407,2.11902831999189E-07
59067.5008007407,9.102306497356E-08
59072.5008007407,6.38585531184247E-08
59077.5008007407,1.08118364824859E-07
59082.5008007407,2.9188614847478E-07
59087.5008007407,1.32086637455339E-07
59092.5008007407,1.38118582588732E-07
59097.5008007407,1.2372502187817E-07
59102.5008007407,7.8648512950901E-08
59107.5008007407,1.25030974709051E-07
59112.5008007407,1.38237086112607E-07
59117.5008007407,8.00586192253549E-08
59122.5008007407,1.27293509278851E-07
59127.5008007407,6.06182587932734E-08
59132.5008007407,1.27818268233891E-07
59137.5008007407,1.54299907093532E-07
59142.5008007407,1.06228336824468E-07
59147.5008007407,9.15508278233017E-08
59152.5008007407,5.09616445292173E-08
59157.5008007407,2.75550188298606E-08
59162.5008007407,8.29458097702852E-08
59177.5008007407,6.70753228993357E-12
59182.5008007407,2.7306131564785E-08
59187.5008007407,1.23404721914233E-08
59192.5008007407,1.24089818359702E-07
59197.5008007407,1.68449269623656E-07
59202.5008007407,1.85298393236408E-07
59207.5008007407,6.24067723297284E-08
59212.5008007407,1.4159219269311E-07
59217.5008007407,9.65280546499173E-08
59222.5008007407,1.74535943336058E-07
59227.5008007407,7.36381548512823E-08
59232.5008007407,1.10503854514676E-07
59237.5008007407,1.9764863220359E-07
59242.5008007407,1.44364116365528E-07
59247.5008007407,3.00152790620035E-07
59252.5008007407,1.16470816426682E-07
59257.5008007407,1.59995803553946E-07
59262.5008007407,1.68650260569833E-07
59267.5008007407,1.46309094722882E-07
59272.5008007407,1.42799089502704E-07
59277.5008007407,1.40445776919311E-07
59282.5008007407,9.94396847784717E-08
59287.5008007407,2.56100996299627E-07
59292.5008007407,1.23939332518476E-07
59297.5008007407,2.21348724427985E-07
59302.5008007407,1.06536377977815E-07
59307.5008007407,1.99661528428982E-07
59312.5008007407,1.76156277936182E-07
59317.5008007407,1.83461638858736E-07
59322.5008007407,3.4257436509684E-07
59327.5008007407,2.8770570467186E-08
59332.5008007407,1.57628327897942E-07
59337.5008007407,6.90685208450148E-08
59342.5008007407,1.35027521464687E-07
59347.5008007407,2.42458116826461E-07
59352.5008007407,2.20722171699078E-07
59357.5008007407,1.60321774652188E-07
